strain	Total_mutation
QG2932	11.157373247602
QG4003	8.54892551637805
QG4004	7.70033388981636
QG4006	8.34979723406468
QG4008	8.23541645003639
QG4010	9.66870910790321
QG4012	13.4478796741174
QG4015	10.8831493438867
QG4017	10.5372761349438
QG4018	9.54521693674856
QG4021	10.7709159190486
QG4080	11.9949759263136
QG4103	11.4391534391534
QG4135	12.3635027299454
QG4138	10.9927589463742
QG4151	10.2413431269675
QG4193	11.3700491169401
QG4226	10.852386471394
QG4228	13.7715013803355
QG536	9.5969089390142
QG556	13.9436768273389
QG557	13.1105263157895
QW947	12.1299601091749
QX1211	34.756029787707
QX1212	12.3144584936778
QX1233	11.6712630998345
QX1791	16.3305785123967
QX1792	14.9168286887017
QX1793	17.5791902664149
QX1794	17.5276348911021
RC301	8.91014617368874
TWN2530	10.849555649598
TWN2542	10.7587650444793
WN2001	14.3863737239237
WN2002	10.3895410885806
WN2033	11.6156282998944
WN2050	10.3149770546516
WN2063	11.2225201072386
WN2064	8.49863625092983
WN2066	6.38009540329575
WN2068	9.85579529437276
WN2069	7.60555555555556
WN2082	10.3970917225951
WN2086	7.1025243578388
XZ1513	17.3175315860917
XZ1514	34.6280903665814
XZ1515	13.0270148072793
XZ1516	36.7824686529391
XZ1672	9.67564595931831
XZ1734	11.5806031677153
XZ1735	11.4246424642464
XZ1756	10.6040564373898
XZ2018	7.32138907321389
XZ2019	18.6812570145903
XZ2020	10.7961466061344
XZ2211	17.185192997258
